pesq_wb,stoi,si_sdr,system
4.087733268737793,0.9557376651426995,-3.878110885620117,dac_baseline
4.087727069854736,0.9557355665248666,-3.877995491027832,dac_postfilter
3.967236280441284,0.8972301472843148,-7.33029842376709,dac_baseline
3.9670896530151367,0.8972363563533541,-7.33036994934082,dac_postfilter
3.9686684608459473,0.961954236322853,-9.375834465026855,dac_baseline
3.9686520099639893,0.9619537199177266,-9.375551223754883,dac_postfilter
3.8687515258789062,0.7969108989998758,-8.990644454956055,dac_baseline
3.868764877319336,0.7969119465285388,-8.98990535736084,dac_postfilter
4.084978103637695,0.9528753689248809,-31.156728744506836,dac_baseline
4.084985733032227,0.9528715724780016,-31.145488739013672,dac_postfilter
4.21045446395874,0.9710503265823996,-11.337567329406738,dac_baseline
4.210705280303955,0.9710465665796993,-11.337541580200195,dac_postfilter
4.188894271850586,0.8823446646733879,-16.56546974182129,dac_baseline
4.188896179199219,0.882342094328323,-16.56634521484375,dac_postfilter
3.708472967147827,0.9646574125389423,-10.327436447143555,dac_baseline
3.70845627784729,0.9646574305214752,-10.32746410369873,dac_postfilter
3.541879415512085,0.9451985032196638,-16.89398193359375,dac_baseline
3.5418858528137207,0.9451998039648318,-16.893943786621094,dac_postfilter
3.7138454914093018,0.9467374057874987,-39.994937896728516,dac_baseline
3.7138431072235107,0.946738489143593,-39.990234375,dac_postfilter
3.6529481410980225,0.9535426388888418,-14.730718612670898,dac_baseline
3.652945041656494,0.9535410060622612,-14.73045825958252,dac_postfilter
3.8877480030059814,0.9730146690708811,-15.518573760986328,dac_baseline
3.887752056121826,0.9730139756018539,-15.518622398376465,dac_postfilter
3.9630563259124756,0.9769298346623354,-5.990974426269531,dac_baseline
3.9630887508392334,0.9769301728006752,-5.990952491760254,dac_postfilter
4.02583122253418,0.9628038375205504,-2.777592182159424,dac_baseline
4.025862216949463,0.9628120245825148,-2.7770891189575195,dac_postfilter
4.107743740081787,0.8980689457227843,-4.6125168800354,dac_baseline
4.107587814331055,0.8980708971662261,-4.611603260040283,dac_postfilter
3.773414134979248,0.9405910630604564,-5.191959381103516,dac_baseline
3.7738242149353027,0.9405919118198743,-5.1912970542907715,dac_postfilter
3.5637545585632324,0.9545510732675202,-7.778643608093262,dac_baseline
3.5636892318725586,0.9545511729967432,-7.7784013748168945,dac_postfilter
3.752314329147339,0.9623964774887456,-8.082050323486328,dac_baseline
3.752375364303589,0.9623965642562425,-8.081886291503906,dac_postfilter
3.5312018394470215,0.9668391370227808,-1.9891161918640137,dac_baseline
3.531193494796753,0.9668361374286302,-1.9889237880706787,dac_postfilter
4.107516288757324,0.9744416493775173,-3.7051830291748047,dac_baseline
4.107520580291748,0.9744417248685411,-3.7050323486328125,dac_postfilter
3.8239498138427734,0.964476595074424,-5.177859783172607,dac_baseline
3.823932409286499,0.9644766280962165,-5.177712917327881,dac_postfilter
3.543187141418457,0.9670217198761308,-2.557060480117798,dac_baseline
3.5431325435638428,0.9670218059571675,-2.5570406913757324,dac_postfilter
3.9747838973999023,0.9667389815422748,-15.561117172241211,dac_baseline
3.9747817516326904,0.9667389465321745,-15.561342239379883,dac_postfilter
3.7575793266296387,0.9627837418302091,-26.515634536743164,dac_baseline
3.7575716972351074,0.9627828125168971,-26.516529083251953,dac_postfilter
3.805908203125,0.9669839542447032,-16.545995712280273,dac_baseline
3.8058741092681885,0.9669834421444967,-16.546188354492188,dac_postfilter
3.7350831031799316,0.9658843703216449,-13.957357406616211,dac_baseline
3.735067844390869,0.9658870079825221,-13.956764221191406,dac_postfilter
3.943331241607666,0.9708069845384938,-17.206575393676758,dac_baseline
3.9433276653289795,0.9708064718949138,-17.206703186035156,dac_postfilter
4.039681434631348,0.9281314727776369,-12.2213134765625,dac_baseline
4.039678573608398,0.9281305407175675,-12.221015930175781,dac_postfilter
4.131158828735352,0.9610940636148876,-8.467942237854004,dac_baseline
4.131178855895996,0.9610969671968257,-8.467830657958984,dac_postfilter
4.086553573608398,0.9313202352138058,-5.274999618530273,dac_baseline
4.086554050445557,0.9313186568988232,-5.274806499481201,dac_postfilter
2.5932295322418213,0.962946749093473,-7.739987373352051,dac_baseline
2.5931591987609863,0.9629525777856278,-7.7396721839904785,dac_postfilter
3.9083127975463867,0.9703370053363408,-18.559452056884766,dac_baseline
3.908296823501587,0.9703371068898573,-18.559247970581055,dac_postfilter
3.7184746265411377,0.9652340783739863,-16.315494537353516,dac_baseline
3.7184906005859375,0.9652352796931126,-16.31507682800293,dac_postfilter
3.6814632415771484,0.9608841285464182,-21.165409088134766,dac_baseline
3.6814568042755127,0.9608844507119911,-21.166019439697266,dac_postfilter
3.6457579135894775,0.9662775937475543,-23.94796371459961,dac_baseline
3.645745038986206,0.9662777065126977,-23.94711685180664,dac_postfilter
3.6558072566986084,0.9679421525559259,-11.966523170471191,dac_baseline
3.655799627304077,0.9679431006376894,-11.966215133666992,dac_postfilter
4.038811206817627,0.9406397036272499,-8.47497844696045,dac_baseline
4.038820266723633,0.9406387564937337,-8.475052833557129,dac_postfilter
3.8735873699188232,0.9632091588838588,-5.076826095581055,dac_baseline
3.8735411167144775,0.9632094385770102,-5.076410293579102,dac_postfilter
3.914029598236084,0.9536141671343243,-7.177162170410156,dac_baseline
3.913917064666748,0.9536142966339117,-7.176957130432129,dac_postfilter
3.9691672325134277,0.9621725202168155,-15.818730354309082,dac_baseline
3.969170093536377,0.9621720956872889,-15.818939208984375,dac_postfilter
